title,price
"Fritadeira Elétrica Air Fryer 3,5L 1500W 127V Preto Multi - GO213","219,90"
"Fritadeira Elétrica sem óleo Air Fryer 3,5L 1500W 127V Multi - CE198","219,90"
Fritadeira Elétrica Air Fryer 4L Digital 1500W 127V Preto Multi - GO205,"394,90"
Fritadeira Elétrica Air Fryer 4L 1500W 220V Vermelho Multi - GO204,"357,90"
"Fritadeira Sem Óleo Air Fryer 4L, Mondial, Preto/Inox, 1500W, 110V - AFN-40-BI","277,90"
"Fritadeira Sem Óleo Oster 127V - OFRT520, PRETO","329,00"
"Fritadeira Air Fryer Forno Oven 12 Litros, Mondial, Preto/Inox, 2000W, 110V - AFO-12L-BI","615,92"
Fritadeira Philco Air Fryer Oven 12L PFR2200P - 220V,"635,00"
"Fritadeira Sem Óleo Air Fryer 5L, Mondial, Preto/Inox, 1900W, 110V - AFN-50-BI","349,51"
"Fritadeira Air Fryer Gourmet Philco 4,4 Litros 1500w Preto Pfr15pg - 127v","296,67"
"Oster OFRT780 - Fritadeira forno 3 em 1, 127V, 1800 W, Preto","629,00"
"Fritadeira Airfryer Série 3000 Grill Edition, Philips Walita, com 4.1L de capacidade, Preta, 1400W, 110v - HD9202/91","349,00"
"Fritadeira Elétrica Start Fry Elgin 3,5 Litros Preta 110v - Air Fryer","226,93"
Britania FRITADEIRA AIR FRYER BFR25P 220v,"241,53"
"Fritadeira Sem Óleo Air Fryer 8L, Mondial, Preto/Inox, 1900W, 110V - AFN-80-BI","538,47"
"Fritadeira Airfryer Série 3000, Philips Walita, com 6.2L de capacidade, Preta, 2000W, 110v - HD9206/91","453,00"
"Electrolux por Rita Lobo EAF90 Grafite - Fritadeira Elétrica sem oleo, Airfryer 12L, digital receita programada, 2 bandejas espeto giratório, 1700W, 127V","848,00"
"Philips Walita Preta Fritadeira Airfryer Essential XL Digital, 6.2L de capacidade, Garantia internacional de dois anos, 220V, 2000W (RI9270/91)","648,89"
Fritadeira Air Fryer Britânia 3L 1300W BFR31 127V,"214,46"
Fritadeira Air Fryer 5L Britânia BFR40PI Preta 127V,"313,53"
"Liquidificador Oster 1100 Full 3,2L Cinza OLIQ606-220","184,89"
"Fritadeira Elétrica Start Fry Elgin 3,5 Litros Preta 110v - Air Fryer","226,93"
"Air Fryer Fritadeira Elétrica Digital Extream 4,5l Preto e Cobre, 127v","388,90"
Forno e Fritadeira Sem Óleo Oster 42L French Door 2 em 1-220V,"1.079,00"
"Philips Walita RI9252/91 Série 3000 - Fritadeira Airfryer Digital, 4.1L de capacidade, 127V, 1400W, Preta","419,01"
