Produtos;Vendas(BRL);ROAS;Taxa de conversão;Impressões;Cliques;CTR;Gastos(BRL);CPC(BRL);Pedidos;ACOS
B09V1SM8QB;56101,07;27,29;20,6%;302207;1617;0,54%;2056;1,27;333;3,66%
B0CH5KP79J;84721,85;28,42;9,3%;296254;3006;1,01%;2981,27;0,99;281;3,52%
B076YLG74Z;55370,92;32,49;23,3%;89943;1101;1,22%;1704,49;1,55;257;3,08%
B0CH5MMSH5;74747,19;18,25;10,6%;154013;2370;1,54%;4096,45;1,73;251;5,48%
B0849PHXW1;90207,36;34,77;6,7%;478208;3220;0,67%;2594,10;0,81;217;2,88%
B0B9PSBNYL;54520,24;43,24;11,6%;90724;1569;1,73%;1260,83;0,80;182;2,31%
B07YGFNDX9;99758,53;48,49;8,5%;242182;1858;0,77%;2057,22;1,11;158;2,06%
B077PT41YL;46516,39;28,28;14,7%;55250;815;1,48%;1644,88;2,02;120;3,54%
B076YFJVT6;22331,33;51,14;24,7%;66864;445;0,67%;436,68;0,98;110;1,96%
B0CGBR6QFC;92516,99;56,67;5,6%;123438;1668;1,35%;1632,58;0,98;93;1,76%
B07YF6CJXL;56767,11;62,22;11,6%;158843;790;0,50%;912,39;1,15;92;1,61%
B0BT5L7V32;11136,08;19,64;8,0%;218433;876;0,40%;567,13;0,65;70;5,09%
B07K8VPJHT;42202,24;40,40;10,3%;89346;668;0,75%;1044,73;1,56;69;2,48%
B0849PNJF5;10779,66;18,13;10,3%;230010;446;0,19%;594,62;1,33;46;5,52%
B076YH9Q96;11195,17;22,36;7,2%;552933;557;0,10%;500,76;0,90;40;4,47%
B0CH5N2WPW;12226,05;6,37;5,1%;166153;743;0,45%;1920,40;2,58;38;15,71%
B0CH5KQ7DR;8506,10;7,09;6,7%;40595;417;1,03%;1200,10;2,88;28;14,11%
B0BT27S33W;5675,88;6,64;14,1%;15387;199;1,29%;854,89;4,30;28;15,06%
B09FFSSYS4;18224,98;51,17;7,7%;123086;261;0,21%;356,18;1,36;20;1,95%
B0BT23S5MF;3399,71;3,58;9,0%;2877;167;5,80%;948,79;5,68;15;27,91%
B07KJXDK4G;8286,10;50,48;4,1%;200399;318;0,16%;164,16;0,52;13;1,98%
B076QF5VJJ;3813,07;19,92;6,4%;48432;156;0,32%;191,44;1,23;10;5,02%
B0CH5PTDY1;2340,72;3,20;3,5%;38801;259;0,67%;730,46;2,82;9;31,21%
B0BT26M491;1691,10;10,43;17,6%;2913;51;1,75%;162,19;3,18;9;9,59%
B0BHJC5GGJ;2045,64;14,70;18,8%;2250;48;2,13%;139,19;2,90;9;6,80%
