title,price
"Robô Aspirador de Pó Karcher RCV 5 com Mapeamento Inteligente, Aspira e Passa Pano.Controle via Aplicativo.Autonomia de 120 min. Navegação a Laser LiDAR, Laser Duplo e Inteligência Artificial - Bivolt","4.450,90"
"Robô Aspirador de Pó Karcher RCV 3 com Mapeamento Inteligente, Aspira e Passa Pano. Controle via Aplicativo. Autonomia de 120 min. Navegação a Laser LiDAR e Sensor 360° - Bivolt","2.899,90"
Robô Aspirador de Pó Karcher RCV 1 controle remoto 3 modos de limpeza sensor anti-queda e de colisão – Bivolt,"928,90"
"Robô Aspirador de Pó XR500 LILIN Dual Voltage, Versão 2024 Mapa de Memória Multicamada, Área de Planejamento Personalizado, Pacote de Idiomas Ajustável, Adequado para Chupar Cabelos e Pisos Duros","1.649,00"
"WAP ROBOT W90 - Aspirador de Pó Robô, Automático 3 em 1 Varre, Aspira, Passa Pano, MOP para Limpeza, 30W, Bateria Recarregável, Bivolt, Preto","344,90"
Aspirador de po robo Electrolux 2h20min bateria longa duração automatico varre aspira passa pano ERB10 bivolt preto sensor antiqueda,"599,00"
Aspirador de Pó Robô WAP ROBOT W100 Bivolt Automático 3 em 1 Varre Aspira e Passa Pano MOP para Limpeza,"498,12"
"Aspirador de Pó Robô Mondial, Pratic Clean, Bivolt, Cinza/Preto, 30W - RB-11","379,90"
WAP Robô Aspirador de Pó com Controle Remoto e MOP Varre Passa Pano Agenda Limpeza e Autorrecarga ROBOT W400 Bivolt,"1.699,90"
Aspirador de po robo Electrolux 2h20min controle remoto bateria longa duração automatico varre aspira passa pano ERB20 bivolt preto sensor antiqueda,"641,77"
Aspirador de po robo Electrolux 2h20min controle remoto base carregamento bateria longa duração automatico varre aspira passa pano ERB30 bivolt preto sensor antiqueda,"859,00"
"Agratto Aspirador de po robo Praticci USB 3W preto bivolt -AAR01L-04, Modelo: 13927","151,18"
"Xiaomi Robot Vacuum S10 - Robot aspirador e lava-chão com planeamento inteligente de rotas, sucção de 4000 Pa, três níveis de lavagem, branco","3.010,00"
Aspirador de po robo Electrolux 2h20min controle remoto base carregamento bateria longa duração automatico varre aspira passa pano úmido ERB40 bivolt grafite sensor antiqueda,"1.299,00"
"Aspirador de Pó Robô WAP ROBOT WSMART Bivolt Automático Autorrecarga Varre Aspira Passa Pano Agenda horário de Limpeza, Preto","1.199,99"
"Robô Aspirador de Pó Fast Clean Advanced, Mondial, Preto/Grafite, 40W, Bivolt - RB-04","738,08"
"Aspirador de Pó Robô Mars Varre + Aspira + Passa Pano Bivolt com 30W e Bateria Recarregável, Vermelho/Preto Multi Home - HO400",N/A
Robô Aspirador de Pó Karcher RCV 1 controle remoto 3 modos de limpeza sensor anti-queda e de colisão – Bivolt,"928,90"
"Robô Aspirador de Pó MultiClean, Mondial, Vermelho/Preto, 30W, Bivolt - RB-09","379,90"
Robô Aspirador Xiaomi Mi Robot Vacuum E10 B112 Bivolt,"1.399,00"
Aspirador de Pó Vertical 2 em 1 Karcher VCL 1 com Filtro Hepa 1000W,"199,89"
Aspirador de Pó Vertical 2 em 1 Kärcher VCL 2 com filtro 220V,"199,90"
"Robô Aspirador de Pó LILIN XR500, reconhecimento de obstáculos,110/220V Bivolt, 5000KPa, mapa de memória multicamada, limpeza personalizada, ajuste multilíngue, ultrafino e silencioso","1.799,00"
"Karcher Aspirador de Pó Vertical 2 em 1 VCL 3 BATERIA, Cor: Branco","399,00"
"Aspirador Robô Eclipse 3 em 1 Varre, Aspira e Passa Pano Bivolt Multi Home - HO410","299,36"
