ASIN;ASIN Name;Preço médio;Preço Prime;% off;Prioridade;Estoque;Valor de Estoque;Ad Share; Sales(BRL) ;ROAS;Conversion rate;Impressions;Clicks;CTR;Spend(BRL);CPC(BRL);Orders;ACOS;Marca; COGS enviados ;Unidades enviadas
B0CLDRS18S;WAP Aspirador de Pó Automotivo Portátil 180W 12VDC com Bico Escova, Bico Canto, Plug 12V e Recipient;106;72;-32%;3;;;;18346,50;;;365081;1428;;753,31;0,53;163;;WAP;136571,16;2902
B076YLG74Z;Aspirador de Pó e Água WAP GTW 10 1400W 140mbar Compacto e Robusto com Soprador 127V;297,31;242,90;-18%;1;;;;206719,88;;;1227803;5659;;3986,88;0,70;687;;WAP;523915,22;2737
B076YFJVT6;Aspirador de Pó e Líquidos WAP GTW 10 Filtro Lavável 1400W 220 Volts - Capacidade de 10 litros e Man;285,90;242,90;-15%;1;;;;155455,04;;;1106750;3869;;2260,81;0,58;539;;WAP;451882,03;2423
B0849PHXW1;Aspirador de Pó Robô WAP ROBOT W100 Bivolt Automático 3 em 1 Varre Aspira e Passa Pano MOP para Limp;529,90;429,90;-19%;2;;;;760194,80;;;4198465;22992;;18160,41;0,79;1609;;WAP;1438404,41;4119
B07KFP1DYP;Aspirador de Pó Robô WAP ROBOT W300 Bivolt Automático Limpeza Varre Aspira Controle Remoto e Base de;929,90;699,90;-25%;não focar;;;;114862,20;;;293699;1919;;1064,76;0,55;158;;WAP;393701,78;529
B08CBH2ZVQ;Aspirador de Pó Robô WAP ROBOT WSMART Bivolt Automático Autorrecarga Varre Aspira Passa Pano Agenda;1209,00;999,90;-17%;não focar;;;;261817,41;;;1963547;5933;;5319,57;0,90;284;;WAP;627326,05;667
B07K8VPJHT;Aspirador de Pó Vertical WAP POWER SPEED 2000W 3L Potente 2 em 1 com Mangueira Extensora Flexível 12;745,27;639,90;-14%;1;;;;62630,71;;;210071;1220;;612,64;0,50;86;;WAP;506528,11;1212
B07KJXDK4G;Aspirador de Pó Vertical WAP POWER SPEED 2000W 3L Potente 2 em 1 com Mangueira Extensora Flexível 22;751,58;639,90;-15%;1;;;;170006,31;;;755708;4772;;3420,42;0,72;254;;WAP;421647,33;1003
B09FFSSYS4;Robô Aspirador de Pó WAP ROBOT WCONNECT Amazon Alexa Google Assistente Wifi Comando de Voz Automátic;1690,80;1019,90;-40%;não focar;;;;245789,51;;;1380571;7247;;5999,40;0,83;244;;WAP;599119,36;463
B08FXYKYLW;Umidificador de Ar Luminária com Difusor de Aromas WAP AIR FLOW Bivolt Sistema Ultrassônico Aromatiz;168,90;115,90;-31%;1;;;;28096,56;;;78032;733;;1610,76;2,20;163;;WAP;201635,55;2112
B0BJL39X4P;Vaporizador Portátil e Higienizador de Roupas e Tecidos WAP WAPORE FAST 1250W Vapor Quente Contínuo;176,21;119,90;-32%;1;;;;24817,58;;;377462;2174;;2647,76;1,22;115;;WAP;84381,97;706
B0BJL678X4;Vaporizador Portátil e Higienizador de Roupas e Tecidos WAP WAPORE FAST 1250W Vapor Quente Contínuo;143,90;119,90;-17%;1;;;;6420,19;;;133437;1069;;2237,74;2,09;43;;WAP;233362,75;1956
B0BT22CQQ9;WAP Aspirador de Pó High Speed Plus 3 em 1 Vertical e de Mão 1350W, com Bico Canto e Tecnologia Cycl;215,90;142,90;-34%;2;;;;24774,34;;;133983;942;;296,85;0,32;121;;WAP;162305,41;1416
B0CJYK9FC4;WAP Aspirador de Pó Portátil Bateria Lithium 7,4VDC Carregador USB e Filtro HEPA WAP Handson;161,79;129,90;-20%;1;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;33160,77;353
B0BT27S33W;WAP Aspirador de Pó Vertical 3 e 1 1350W Filtro HEPA e Tecnologia Cyclone WAP Silent Speed Max 220V;224,49;189,90;-15%;1;;;;173230,59;;;839420;5674;;4035,99;0,71;735;;WAP;579275,07;4165
B0BT23S5MF;WAP Aspirador de Pó Vertical e Portátil 1350W 1,2L com Filtro HEPA e Tecnologia Cyclone HIGH SPEED P;212,80;142,90;-33%;2;;;;56095,67;;;652818;4158;;4214,23;1,01;260;;WAP;196428,77;1719
B0BT2HMWS9;WAP Extratora e Higienizadora Portátil Spot Cleaner 3 em 1 Borrifa, Esfrega e Extrai 1600W 220V;868,00;799,90;-8%;2;;;;5357,28;;;21352;195;;266,29;1,37;7;;WAP;307467,01;548
B0CH3WBKN6;WAP Extratora Portátil Spot Cleaner W3 1450W de Potência e Vácuo de 110Mbar 3 em 1 Borrifa, Esfrega;779,90;699,90;-10%;1;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;18237,66;42
B0CH3YNWVK;WAP Extratora Portátil Spot Cleaner W3 1450W de Potência e Vácuo de 110Mbar 3 em 1 Borrifa, Esfrega;799,90;699,90;-13%;1;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;  ;
B0BT4Z9LZB;WAP FLOW TURBO Ventilador 2 em 1 Mesa e Parede 180W 50 cm 8 Pás Potente Silencioso e Econômico com 3;220,35;158,90;-28%;2;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;484401,27;4485
B0BT52CP9B;WAP FLOW TURBO Ventilador 2 em 1 Mesa e Parede 180W 50 cm 8 Pás Potente Silencioso e Econômico com 3;207,82;158,90;-24%;2;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;36644,65;337
B0BT4X3MJR;WAP FLOW TURBO Ventilador de Coluna 180W 50 cm 8 Pás Silencioso e Econômico com Tecnologia Silent Fl;299,99;215,90;-28%;1;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;353985,50;2738
B0BT4YZZKK;WAP FLOW TURBO Ventilador de Coluna 180W 50 cm 8 Pás Silencioso e Econômico com Tecnologia Silent Fl;273,10;215,90;-21%;1;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;117315,72;895
B0CGBR6QFC;WAP Robô Aspirador de Pó com Controle Remoto e MOP Varre Passa Pano Agenda Limpeza e Autorrecarga RO;1699,90;1199,90;-29%;1;;;;635362,35;;;2282588;11896;;7407,31;0,62;550;;WAP;1131859,01;1418
B0B9PSBNYL;WAP ROBOT W90 - Aspirador de Pó Robô, Automático 3 em 1 Varre, Aspira, Passa Pano, MOP para Limpeza,;429,24;299,90;-30%;1;;;;367232,94;;;3702803;15785;;9296,84;0,59;890;;WAP;1927950,89;9353
B0BT26M491;WAP Silent Speed Max 3 e 1 - Aspirador de Pó Vertical, 1350W, Filtro HEPA e Tecnologia Cyclone, 127V;#N/D;189,90;#N/D;1;;;;6431,40;;;122938;292;;355,58;1,22;28;;WAP;628273,57;4505
B0BT2LQ848;WAP Spot Cleaner 3 em 1 - Extratora e Higienizadora Portátil, Borrifa, Esfrega e Extrai, 1600W, 127V;1007,53;799,90;-21%;2;;;;14919,67;;;91200;756;;886,33;1,17;27;;WAP;933435,75;1660
B0CVYRV24P;WAP Umidificador de Ar Ultrassônico 2,3 Litros com Luminária e Aromatizador de Ambientes WAP AIR FLOW U2 Bivolt;#N/D;99,90;#N/D;2;;;;719,40;;;572;24;;100,93;4,21;6;;WAP;265734,42;3803
B0BT527S83;WAP Ventilador de Torre AIR SILENCE com 4 Ní­veis de Velocidade, Time de até 15 Horas e Desligamento;484,90;411,90;-15%;2;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;104909,59;401
B0BT524YQB;WAP AIR SILENCE Ventilador de Torre Vertical Silencioso com Controle Remoto 4 Velocidades 70W 127V;527,91;411,90;-22%;2;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;132008,67;504
B0CH5R99NK;WAP Chaleira Elétrica com Base Giratória 1,7L Indicador de Nível da Água Desligamento Automático e F;159,90;134,90;-16%;1;;;;779,50;;;17284;255;;505,94;1,98;5;;WAP;7610,65;90
B0CH5PTDY1;WAP Chaleira Elétrica WCE1 com Base Giratória 1,7L Indicador de Nível da Água Desligamento Automátic;0,00;134,90;#DIV/0!;1;;;;10322,30;;;82931;1450;;1688,31;1,16;69;;WAP;8991,93;96
B0CH5MMSH5;WAP Fritadeira Elétrica Air Fryer 5,2 Litros Temperatura Ajustável com Duplo Revestimento Antiaderen;399,00;299,90;-25%;1;;;;77500,28;;;559381;2253;;4903,33;2,18;232;;WAP;459870,82;2294
B0CH5KP79J;WAP Fritadeira Elétrica Air Fryer 5,2 Litros Temperatura Ajustável com Duplo Revestimento Antiaderen;399,00;299,90;-25%;1;;;;108784,17;;;1881466;4439;;4081,36;0,92;321;;WAP;255619,07;1303
B0CH5NZR31;WAP Fritadeira Elétrica Air Fryer 7,1 Litros Cesto e Grelha Removíveis 1500W com Duplo Revestimento;519,90;406,90;-22%;3;;;;69131,97;;;906216;3739;;3272,82;0,88;172;;WAP;114119,72;338
B0CH5MTBJ9;WAP Fritadeira Elétrica Air Fryer 7,1 Litros Cesto e Grelha Removíveis 1500W com Duplo Revestimento;538,90;406,90;-24%;3;;;;52989,01;;;1790261;3876;;3793,21;0,98;132;;WAP;91015,00;269
B0CH5KMZPJ;WAP Fritadeira Elétrica Air Fryer Barbecue Digital 12 em 1 com 4 Níveis de Temperatura e Painel Digi;1349,90;1199,90;-11%;2;;;;317672,48;;;1300643;6131;;5338,85;0,87;273;;WAP;563024,53;717
B0CH5JQWHJ;WAP Fritadeira Elétrica Air Fryer Barbecue Digital 12 em 1 com 4 Níveis de Temperatura e Painel Digi;1372,37;1199,90;-13%;2;;;;122327,95;;;1971641;5243;;3970,85;0,76;105;;WAP;264251,26;337
B0CH5KQ7DR;WAP Fritadeira Elétrica Air Fryer com Duplo Revestimento Antiaderente, Aviso Sonoro e Temperatura Aj;349,90;279,90;-20%;2;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;9378,29;40
B0CH5L6V3Q;WAP Fritadeira Elétrica Air Fryer com Duplo Revestimento Antiaderente, Aviso Sonoro e Temperatura Aj;349,90;279,90;-20%;2;;;;31197,36;;;725417;2807;;3482,95;1,24;94;;WAP;35654,51;149
B0CH5M9GXV;WAP Fritadeira Elétrica Air Fryer Grand Family 5L Cesto Removível com Duplo Revestimento Antiaderent;0,00;329,90;#DIV/0!;1;;;;80845,11;;;3005992;6273;;6609,75;1,05;228;;WAP;57662,13;214
B0CH5N2WPW;WAP Fritadeira Elétrica Air Fryer Grand Family 5L Cesto Removível com Duplo Revestimento Antiaderent;549,90;329,90;-40%;1;;;;29654,66;;;792291;2064;;4157,88;2,01;90;;WAP;42595,17;162
B0CH5PR9G9;WAP Fritadeira Elétrica Air Fryer Oven Digital 12 Litros Sem Óleo 10 Funções e Timer de 24h Aviso So;899,00;568,90;-37%;2;;;;21130,71;;;665156;1422;;2339,96;1,65;26;;WAP;338138,54;782
B0CH5PRZH9;WAP Fritadeira Elétrica Air Fryer Oven Digital 12 Litros Sem Óleo 10 Funções Timer de 24h Aviso Sono;899,00;598,90;-33%;2;;;;113925,12;;;770793;5419;;8805,64;1,62;153;;WAP;420816,60;922
B0CH5P775H;WAP Panela de Pressão Elétrica Inox 1000W com Painel Digital, Cesto 6 Litros com Revestimento Antiad;494,90;407,90;-18%;1;;;;78224,31;;;683650;5152;;3270,33;0,63;186;;WAP;231055,66;681
B0CH5RSZTP;WAP Panela de Pressão Elétrica Inox 1000W com Painel Digital, Cesto 6 Litros com Revestimento Antiad;570,62;407,90;-29%;1;;;;8694,02;;;154638;615;;1006,92;1,64;17;;WAP;81674,54;254
B076QGWC5X;Lavadora de Alta Pressão WAP ÁGIL 1800 1400W 1300 PSI/Libras 300L/h Portátil Compacta Jato Leque e C;412,15;349,90;-15%;1;;;;156837,04;;;1382058;7164;;19888,11;2,78;377;;WAP;117354,72;448
B076QF5VJJ;Lavadora Alta Pressão Wap Ágil 1400w 127v;414,78;351,90;-15%;1;;;;108348,60;;;875205;4186;;10798,54;2,58;255;;WAP;88161,35;344
B07YF5T8W1;Lavadora de Alta Pressão Profissional WAP 5100 TURBO 2500W 2300 PSI/Libras 550L/h Lava Rápido Motor;1962,00;1768,90;-10%;1;;;;141441,81;;;1669599;2333;;6073,25;2,60;96;;WAP;317172,23;223
B076QCBC3G;Lavadora de Alta Pressão WAP ATACAMA SMART 2200 1400W 1500 PSI/Libras 330L/h Jato Leque e Concentrad;407,14;345,90;-15%;2;;;;7775,11;;;9419;135;;222,39;1,65;18;;WAP;195208,05;767
B076QDQVMJ;Lavadora de Alta Pressão WAP ATACAMA SMART 2200 1400W 1500 PSI/Libras 330L/h Jato Leque e Concentrad;438,82;345,90;-21%;2;;;;72719,69;;;489407;2048;;3105,48;1,52;167;;WAP;88272,34;331
B076QDPG79;Lavadora de Alta Pressão WAP LÍDER 2200 1750W 1800 PSI/Libras 360L/h Jato Leque e Concentrado Máquin;719,90;574,90;-20%;3;;;;97820,94;;;470480;2003;;3429,55;1,71;154;;WAP;215373,81;479
B07B9RTXFM;Lavadora de Alta Pressão WAP LÍDER 2200 1750W 1800 PSI/Libras 360L/h Jato Leque e Concentrado Máquin;675,68;574,90;-15%;3;;;;45855,51;;;311704;1065;;1841,17;1,73;70;;WAP;143037,39;316
B077PT41YL;Lavadora de Alta Pressão WAP OUSADA PLUS 2200 1500W 1750 PSI/Libras 342L/h Jato Leque e Concentrado;477,90;397,90;-17%;1;;;;55504,67;;;323450;1501;;2532,01;1,69;115;;WAP;554457,11;1852
B07H3B86KY;Lavadora de Alta Pressão WAP OUSADA PLUS 2200 1500W 1750 PSI/Libras 342L/h Jato Leque e Concentrado;509,00;397,90;-22%;1;;;;23971,39;;;35383;341;;601,01;1,76;51;;WAP;392459,72;1314
B07YGFNDX9;WAP COMBATE TURBO 2600 - Lavadora de Alta Pressão Indução, 1700W, 2100 PSI/Libras, 360L/h Profission;924,97;644,90;-30%;1;;;;85337,40;;;162610;972;;1065,91;1,10;97;;WAP;413560,96;671
B07YF6CJXL;WAP COMBATE TURBO 2600 - Lavadora de Alta Pressão, Indução 1700W, 2100 PSI/Libras, 360L/h, Profissio;954,97;644,90;-32%;1;;;;42359,32;;;55010;379;;428,64;1,13;54;;WAP;391322,43;642
B09WZLBQ8J;WAP Kit Jardinagem Manual com Duas Pás e um Ancinho GKJM01;21,21;17,90;-16%;1;;;;99,58;;;9613;29;;38,95;1,34;4;;WAP;7775,61;626
B0CNH49D1Y;WAP Lavadora de Alta Pressão WL 4000 Limpeza Profissional 2000W, Bico Regulável, com Economia de Águ;996,08;829,90;-17%;3;;;;107331,25;;;2026370;3853;;10916,90;2,83;119;;WAP;56160,83;93
B0CNH3NZXG;WAP Lavadora de Alta Pressão WL 4000 Limpeza Profissional 2000W, Bico Regulável, com Economia de Águ;1013,60;829,90;-18%;3;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;67528,82;112
B0CH43CT7Q;WAP Lavadora de Alta Pressão WL1820 Potência de 1400W e 1500 PSI com Agulha Desobstruidora Bico Ajus;482,76;409,90;-15%;2;;;;78579,23;;;2421615;5851;;10154,84;1,74;147;;WAP;17797,10;61
B0CH43NQPF;WAP Lavadora de Alta Pressão WL1820 Potência de 1400W e 1500 PSI com Agulha Desobstruidora Bico Ajus;649,90;409,90;-37%;2;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;16655,20;57
B09TTDTVZ5;WAP Pulverizador Manual 2 Litros GPM2L01 Borrifador Compressão Prévia Jato Regulável Trava Para Pulv;#N/D;38,90;#N/D;não focar;;;;749,92;;;17491;87;;75,54;0,87;4;;WAP;15487,70;705
B0CH5FKZ34;WAP Chave de Impacto K21 CH01 Bateria Li-Ion 21VDC Torque de 350Nm com 4 Soquetes Encaixe Quadrado d;464,00;393,90;-15%;3;;;;466,53;;;2062;0;; R$                            -  ;0,00;1;;WAP;5510,86;17
B09SHXXRZL;WAP Esmerilhadeira Angular 960W 125mm 11000RPM Potente M14 Sem Disco de Corte WAP EEA 960 220V;185,90;126,90;-32%;3;;;;9124,50;;;391015;1500;;680,95;0,45;44;;WAP;15297,33;116
B09SJ14PDD;WAP Esmerilhadeira Angular Eea 960W 125Mm 11000Rpm Potente M14 Sem Disco De Corte 127V Amarelo E Pre;149,90;126,90;-15%;3;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;2967,05;23
B0778S1RH8;WAP Furadeira De Impacto E Parafusadeira 600W Efi 600 Mandril 3/8” Torque 9 Nm Elétrica Com Controle;199,89;139,90;-30%;3;;;;;;;0;0;; R$                            -  ;0,00;0;;WAP;9029,28;76
B0778RD52Z;WAP Furadeira De Impacto E Parafusadeira 600W Efi 600 Mandril 3/8” Torque 9 Nm Elétrica Com Controle;165,04;139,90;-15%;3;;;;;;;0;0;; R$                            -  ;0,00;0;;WAP;9876,46;83
B0CNH7FWCC;"WAP Kit Parafusadeira e Furadeira de Impacto 1/2"" K21 ID03 + Chave de Impacto K21 CH01, Carregador B";949,90;464,90;-51%;1;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;15482,88;31
B0CLDWRHSH;"WAP Motosserra de Sabre 6"" Bateria Removível 21V 2000mAh Corte 4,8 m/s Rotação de 3600 rpm Autonomia";#N/D;354,90;#N/D;não focar;;;;;;;#N/D;#N/D;;#N/D;#N/D;#N/D;;WAP;1742,06;8
B09V1SM8QB;WAP Parafusadeira E Furadeira A Bateria Li-Ion 12V Bpf 12K3 Carregador Bivolt Sem Fio Com Maleta E K;195,97;145,90;-26%;1;;;;351332,78;;;2265020;16530;;10776,63;0,65;1900;;WAP;2422779,25;21577
B0CLF2H6P7;"WAP Parafusadeira e Furadeira de Impacto 21V 1/2"" 20 Níveis de Torque 60Nm Bateria Li-Íon 2 Velocida";599,90;399,90;-33%;3;;;;24017,62;;;1692030;4168;;2862,75;0,69;59;;WAP;23170,05;69
B0CLF2RGNL;"WAP Parafusadeira e Furadeira de Impacto 21V 3/8"" 45Nm 21 Níveis de Torque Bateria Li-Íon 1500 mAh 2";379,00;279,90;-26%;3;;;;11686,85;;;278525;798;;970,27;1,22;37;;WAP;28553,45;122
B0BT5811V8;WAP Serra Tico Tico ESTT 550 Ferramenta para Cortar Madeira Aço e Polí­meros, com Bocal de Aspiração;196,00;148,90;-24%;3;;;;2435,08;;;48545;199;;182,33;0,92;15;;WAP;11430,47;119
B0BT5L7V32;WAP Serra Tico Tico ESTT 550 Ferramenta para Cortar Madeira Aço e Polí­meros, com Bocal de Aspiração;203,42;148,90;-27%;3;;;;18124,77;;;226429;1461;;843,91;0,58;95;;WAP;23756,80;247
B0BHJC5GGJ;WAP Parafusadeira E Furadeira Com Impacto Bpfi 12K4 A Bateria Li-Íon De 12V Torque 18 Níveis Sem Fio;279,11;197,90;-29%;2;;;;136698,12;;;1761017;8305;;4774,84;0,57;567;;WAP;263309,18;1340
B09XN9GYV4;WAAW by ALOK ENERGY 100EBG - Fone de Ouvido Bluetooth, TWS, Intra-Auricular Com Modo Gamer e Resiste;201,55;138,90;-31%;1;;;;33508,50;;;987887;3207;;2545,39;0,79;187;;WAAW;171103,84;1395
B09XRHBSBJ;WAAW by ALOK Fone de Ouvido Bluetooth Intra-Auricular Sem Fio, Com Microfone e Toque inteligente WAA;201,39;168,90;-16%;2;;;;37529,93;;;938604;4386;;3831,11;0,87;207;;WAAW;140778,71;1182
