title,price
WAP Extratora Potente 1600W 190 mbar CARPET CLEANER PRO 30 220V,"1.999,90"
"Extratora Profissional 25 Litros 1600W WAP CARPET CLEANER 220V, Amarelo com Preto","1.952,90"
Extratora de Sujeira WAP HOME CLEANER 20L 1600W Máquina para Limpeza de Pisos Tapetes Carpetes Sofás Estofados 127V,"1.529,15"
Extratora e Higienizadora Vertical WAP COMFORT CLEANER PRO 2000W 2 em 1 Escova Elétrica Tapetes e Carpetes 127V,"1.023,21"
"WAP Spot Cleaner 3 em 1 - Extratora e Higienizadora Portátil, Borrifa, Esfrega e Extrai, 1600W, 127V","859,90"
Extratora e Higienizadora Vertical WAP COMFORT CLEANER PRO 2000W 2 em 1 Escova Elétrica Tapetes e Carpetes 220V,"919,90"
Extratora de Sujeira WAP HOME CLEANER 20L 1600W Máquina para Limpeza de Pisos Tapetes Carpetes Sofás Estofados 127V,"1.529,15"
"WAP Extratora Potente 1600W 190 mbar CARPET CLEANER PRO 30 3 Níveis de Filtragem 127V, Amarelo, Preto e Inox","2.049,98"
"Extratora Portátil 400W Limpeza Estofados Tapetes Sofás Vonder ELV400 (220, Volts)","837,00"
Extratora e Higienizadora Vertical WAP POWER CLEANER PRO 2000W 2 em 1 Escova Elétrica Tapetes e Carpetes 220V,"1.049,98"
LAVA PRO - EXTRATORA E ASPIRADOR PROFISSIONAL - SÓLIDOS E LÍQUIDOS,"2.547,99"
"Extratora de Sujeira WAP Aqua Cleaner (110, Volts)","2.399,88"
Limpadora de Estofados Puzzi 4/15Classic 220V,"1.226,62"
"WAP WAPORE UP - Extratora e Higienizadora com Vapor e MOP, Aspirador de Pó Vertical, 1600W, Passa Pano, Limpa e dá Brilho, 127V, Branco, Titanium e Azul","949,98"
"Extratora Profissional 25 Litros 1600W WAP CARPET CLEANER 220V, Amarelo com Preto","1.952,90"
"WAP Extratora Barril Carpet Cleaner ECO com Bocal de Sopro, Limpeza Pesada 1450W 220V","1.729,19"
Extratora de Sujeira Britânia BEX2000V 3 em 1 1200W 127V,N/A
"Extratora Portátil Para Estofados 1,2L 220V 400W Branco Multi - HO329","899,90"
"Extrator de Sucos Turbo Premium, Mondial, Preto/Inox, 250W, Bivolt - E-10","150,90"
Vaporizador e Higienizador 1500W Vapor Clean com 14 acessórios Intech Machine (220V),"533,59"
Robô Aspirador de Pó Karcher RCV 1 controle remoto 3 modos de limpeza sensor anti-queda e de colisão – Bivolt,"928,90"
"Robô Aspirador de Pó Karcher RCV 5 com Mapeamento Inteligente, Aspira e Passa Pano.Controle via Aplicativo.Autonomia de 120 min. Navegação a Laser LiDAR, Laser Duplo e Inteligência Artificial - Bivolt","4.450,90"
"Robô Aspirador de Pó Karcher RCV 3 com Mapeamento Inteligente, Aspira e Passa Pano. Controle via Aplicativo. Autonomia de 120 min. Navegação a Laser LiDAR e Sensor 360° - Bivolt","2.899,90"
"Black Decker Aspirador de Pó, Elétrico e Portátil, com Função Sopro, Modelo APS1200, 127V","239,00"
Extrator De Leite El�trico Fisher Price BB320,"399,00"
Extratora de Sujeira Britânia BEX2000V 3 em 1 1200W 220V,N/A
Limpadora de Estofados Puzzi 4/30Classic 127V,"2.339,54"
"WAP PET CLEANER MOB 4 em 1 - Extratora de Sujeira Portátil, Aspira, Borrifa, Esfrega, Extrai, 120W, Bivolt, Sem Fio, a Bateria","652,62"
Extratora Profissional 127v 1600w 190 Mbar Carpet Cleaner Pro 50 Wap,"4.477,90"
EXTRATORA PARA LIMPEZA ELV1300 220V VONDER,"1.079,00"
Limpadora de Estofados Puzzi 4/20Classic 127V,"1.799,00"
"Klein Tools Fita de peixe 56334, extrator de fio de aço com ponta de laço duplo, caixa e alça otimizados, para puxadores de fio resistentes","616,32"
"LIMPADOR DE TAPETE 1,5 LITROS SMART WASH 700W 220V - TFSMARTWASH700V","629,90"
WAP Detergente Limpador Para Extratoras Limpa E Extrai 1L Com Fragrância E Sem Espuma Branco E Azul,"61,75"
Bocal para Extratora sem Gatilho Detailer,"29,90"
Aspirador de Pó e Água WAP GTW 10 1400W 140mbar Compacto e Robusto com Soprador 127V,"289,00"
"Vaporizador E Higienizador 1200w Vapor Top Clean Intech Machine 127V, Amarelo","228,90"
Aspirador Vertical de Pó Liectroux i7 Pro Sem Fio Aspira Passa Pano e Autolimpante Bateria Duradoura,"2.769,00"
Kit para Limpeza Profissional de Estofados Sofás Colchão Remove Manchas Vonixx,"159,48"
"WAP ROBOT W90 - Aspirador de Pó Robô, Automático 3 em 1 Varre, Aspira, Passa Pano, MOP para Limpeza, 30W, Bateria Recarregável, Bivolt, Preto","344,90"
Extratora Lavadora Aspirador Lava Home 27l 1250w 127v Ipc Soteco,"1.799,00"
Kit com 4 Peças Removedor Extrator de Cravos e Espinhas com Estojo,"32,90"
