title,price
"Black Decker Parafusadeira a Bateria Íon Lítio 4V, com Torque Potênte, Modelo BD40K4, Bivolt","164,33"
Pró Euro Parafusadeira Furadeira 18v 10mm Bivolt + Maleta e Acessórios,"332,10"
Combo Parafusadeira/Furadeira e Chave de Impacto 12V WS1000K2 Wesco,"797,90"
"Black Decker Furadeira de Impacto 10mm, Ferramenta Ideal para Trabalhos Pesados, Potência 560W, Modelo TM500, 110V","162,32"
WAP Parafusadeira E Furadeira A Bateria Li-Ion 12V Bpf 12K3 Carregador Bivolt Sem Fio Com Maleta E Kit De 13 Acessórios,"168,32"
Bosch Parafusadeira Furadeira Gsr 1000 Smart 12V Com 1 Bateria 1 Carregador E Maleta,"319,90"
Parafusadeira Philco PPF01 W 4.8V Preto/Azul,"89,90"
Parafusadeira Philco PPF03MF Force 3 em 1 c/Maleta 1500rpm - Bateria,"199,90"
Vonder Parafusadeira E Furadeira 12V 3/8 Pfv012I Com Impacto Bivolt,"232,89"
Vonder Parafusadeira/Furadeira A Bateria 12V Pfv120 Bivolt,"189,00"
Vonder Parafusadeira/Furadeira Com Bateria Carregador Bivolt Automático Pfv 012 12 V,"216,90"
Parafusadeira e Furadeira de Impacto 12v a Bateria e Maleta + Acessórios - Bivolt - Yoshita,"139,97"
"Black Decker Parafusadeira, Bateria 4.8V, com16 Acessórios, Modelo KC4815B, Bivolt","134,30"
WAP Parafusadeira E Furadeira Com Impacto Bpfi 12K4 A Bateria Li-Íon De 12V Torque 18 Níveis Sem Fio Maleta E Kit De 13 Acessórios Bivolt,"229,98"
"Vonder Furadeira Parafusadeira Impacto 3 * 8 12V A Bateria, AMARELO/PRETO","367,90"
Bosch Parafusadeira E Furadeira Gsr 7-14 E 400W 127V Com Cabo De 4M,"319,90"
Parafusadeira E Furadeira A Bateria Li-Ion 24V Sem Fio Com 2 Baterias Carregador Bivolt Maleta E Kit De 23 Acessórios,"299,90"
"Parafusadeira a Bateria Bosch Go 3,6V BIVOLT com 2 bits","358,93"
Bosch Parafusadeira Furadeira Gsr 120-Li 12V 1 Bateria E Maleta - Azul,"398,90"
"Black Decker Parafusadeira a Bateria Íon Lítio 4V, com Torque Potênte, Modelo BD40K4, Bivolt","164,33"
"Stanley Chave de Impacto 1/2"" Sem Fio Com Maleta de Ferramentas, Ferramenta Profissional 2 Velocidades, 2 Baterias, 1 Carregador, Modelo SBW920M2K, 20V","1.599,00"
"Black Decker Furadeira, Sem Fio, Max Matrix, 6 Cabeçotes Intercabiáveis, Modelo MTX20K6A, 220v","1.324,03"
"Black Decker Furadeira de Impacto 10mm, Ferramenta Ideal para Trabalhos Pesados, Potência 560W, Com Maleta de Ferramentas e 9 Brocas, Modelo TM500KB9BR, 110V","238,91"
"Black Decker Furadeira e Parafusadeira 3/8 Pol Bateria, com 13 Acessórios e Caixa Transparente, Modelo LD12SP, Bivolt","253,88"
"Black Decker Furadeira e Parafusadeira VRR com 2 velocidades, Furadeira de Impacto 360 RPM a 1.400 RPM, 110V, Modelo BCD704C1, 20V","465,87"
"Furadeira Parafusadeira Impacto 18V Bosch GSB185LI-1B Sem Fio, 1 bateria","799,90"
"Vonder, Parafusadeira/Furadeira Com Impacto A Bateria, 12 V, Fonte Bivolt Automática, Pfv 120i.","219,01"
DEWALT Parafusadeira e Furaderia de 1/2 Pol. (13mm) Brushless Motor a Bateria 20V MAX* Ion-Litio com 2 Baterias 2.0Ah e Carregador Bivolt e Maleta DCD7771D2,"1.177,00"
"Black Decker Furadeira e Parafusadeira 3/8 Pol Bateria, com 13 Acessórios e Caixa Transparente, Modelo LD12SP, Bivolt","253,88"
Bosch Parafusadeira E Furadeira De Impacto De ½' Gsb 180-Li 18V Com 1 Bateria 1 Carregador Bivolt E 1 Maleta,"665,90"
"Furadeira/Parafusadeira 3/8"", FPV 300, 220 V~, Vonder VDO1109","169,90"
"Titanium, Parafusadeira A Bateria CARBON 12V Sem Fio com Carregador Bivolt com Maleta e 2 Acessórios","150,17"
"Black Decker Kit Parafusadeira a Bateria 6,3mm Com 15 Acessórios para Ferramentas, Modelo KC4815K, Carregador Bivolt, 4,8V","165,90"
MAKITA PARAFUSADEIRA/FURADEIRA DE IMPACTO A BATERIA 12V CXT HP333DWYX3 COM CARREGADOR,"509,90"
"Parafusadeira Recarregável, Mondial, Vermelho/Preto, 4,8V, Bivolt - FPF-05","122,67"
Furadeira e Parafusadeira Portátil com 2 baterias 36V + Kit Maleta com Acessórios - Bivolt,"250,00"
"Parafusadeira A Bateria 3,6 V, Carregador Bivolt, Jogo Com 12 Acessórios, Pbv 120, Vonder.","126,41"
"WAP Parafusadeira e Furadeira de Impacto 21V 3/8"" 45Nm 21 Níveis de Torque Bateria Li-Íon 1500 mAh 2 Velocidades Compacto e com Maleta WAP K21 ID01","419,99"
Bosch Parafusadeira Furadeira Impacto Gsb 18V-50 18V Brushless Com 2 Baterias 1 Carregador E Maleta,"999,00"
Bosch Kit De Pontas E Brocas X-Line 33 Pçs,"68,90"
Bosch Parafusadeira Furadeira Gsb 180-Li 18V Com 2 Baterias 1 Carregador E 1 Maleta,"871,90"
"Black Decker Furadeira e Parafusadeira 3/8 Pol Bateria, 900 RPM, 13 Acessórios, Potência e Versatilidade, Modelo LD12S, 12V","222,99"
"WAP Furadeira de Impacto e Parafusadeira 700W WAP WF 700FE com Chave de Mandril 3/8"" Elétrica com Controle de Velocidade 220V","169,90"
"Black Decker Furadeira e Parafusadeira 3/8 Pol Bateria 12V, com 31 Acessórios e Maleta, Modelo LD12SC, Bivolt","284,99"
"Furadeira e Parafusadeira à Bateria, Mondial, Vermelho, 12V, Bivolt - FPF-06M","202,83"
Parafusadeira Furadeira Bosch GSR 1000 Smart 12V com cinto para ferramenta,"392,16"
Bosch Kit Parafusadeira Gsr 120-Li E Chave De Impacto Gdr 120-Li 12V Com 2 Baterias 1 Carregador E 1 Maleta,"997,99"
Parafusadeira Furadeira e Chave De Impacto Sem Fio 48v 2 Baterias Bivolt,"510,00"
PARAFUSADEIRA/FURAD IMPAC 10MM (3/8POL),"723,50"
