title,price
Aspirador de Pó Robô WAP ROBOT W100 Bivolt Automático 3 em 1 Varre Aspira e Passa Pano MOP para Limpeza,"498,12"
"WAP COMBATE TURBO 2600 - Lavadora de Alta Pressão, Indução 1700W, 2100 PSI/Libras, 360L/h, Profissional, Semi Intensivo, 127V","1.023,00"
Extratora e Higienizadora Vertical WAP COMFORT CLEANER PRO 2000W 2 em 1 Escova Elétrica Tapetes e Carpetes 127V,"1.023,21"
Lavadora de Alta Pressão WAP OUSADA PLUS 2200 1500W 1750 PSI/Libras 342L/h Jato Leque e Concentrado Máquina Voltagem 127 V,"436,00"
"WAP Spot Cleaner 3 em 1 - Extratora e Higienizadora Portátil, Borrifa, Esfrega e Extrai, 1600W, 127V","859,90"
Lavadora de Alta Pressão WAP OUSADA PLUS 2200 1500W 1750 PSI/Libras 342L/h Jato Leque e Concentrado Máquina Voltagem 127 V,"436,00"
"WAP ROBOT W90 - Aspirador de Pó Robô, Automático 3 em 1 Varre, Aspira, Passa Pano, MOP para Limpeza, 30W, Bateria Recarregável, Bivolt, Preto","344,90"
Extratora e Higienizadora Vertical WAP COMFORT CLEANER PRO 2000W 2 em 1 Escova Elétrica Tapetes e Carpetes 127V,"1.023,21"
"WAP COMBATE TURBO 2600 - Lavadora de Alta Pressão, Indução 1700W, 2100 PSI/Libras, 360L/h, Profissional, Semi Intensivo, 127V","1.023,00"
WAP Detergente Limpador Para Extratoras Limpa E Extrai 5L Com Fragrância E Sem Espuma Branco E Azul,"152,41"
WAP Parafusadeira E Furadeira A Bateria Li-Ion 12V Bpf 12K3 Carregador Bivolt Sem Fio Com Maleta E Kit De 13 Acessórios,"168,32"
Aspirador de Pó Vertical WAP POWER SPEED 2000W 3L Potente 2 em 1 com Mangueira Extensora Flexível 127V,"723,30"
Lavadora de Alta Pressão WAP ATACAMA SMART 2200 1400W 1500 PSI/Libras 330L/h Jato Leque e Concentrado 220V,"399,90"
"WAP Silent Speed Max 3 e 1 - Aspirador de Pó Vertical, 1350W, Filtro HEPA e Tecnologia Cyclone, 127V","218,17"
Aspirador de Pó e Água WAP GTW 10 1400W 140mbar Compacto e Robusto com Soprador 127V,"289,00"
Aspirador de Pó Robô WAP ROBOT W100 Bivolt Automático 3 em 1 Varre Aspira e Passa Pano MOP para Limpeza,"498,12"
WAP Fritadeira Elétrica Air Fryer Barbecue Digital 12 em 1 com 4 Níveis de Temperatura e Painel Digital Antiaderente 1700W WAP AIRFRY 10L 127V,"1.578,81"
Aspirador de Pó Wap Antiacaro Mite Cleaner Uv 127v,"609,90"
Lavadora de Alta Pressão WAP LÍDER 2200 1750W 1800 PSI/Libras 360L/h Jato Leque e Concentrado Máquina 127V,"719,90"
"WAP Aspirador de Pó High Speed Plus 3 em 1 Vertical e de Mão 1350W, com Bico Canto e Tecnologia Cyclone 127V","203,46"
Aspirador de Pó e Água WAP GTW 10 1400W 140mbar Compacto e Robusto com Soprador 127V,"289,00"
Robô Aspirador de Pó Karcher RCV 1 controle remoto 3 modos de limpeza sensor anti-queda e de colisão – Bivolt,"928,90"
"Robô Aspirador de Pó Karcher RCV 3 com Mapeamento Inteligente, Aspira e Passa Pano. Controle via Aplicativo. Autonomia de 120 min. Navegação a Laser LiDAR e Sensor 360° - Bivolt","2.899,90"
"WAP Detergente Concentrado para Limpeza Pesada de Pisos 1 LITRO WAP LIMPE PRO, Branco e amarelo","45,18"
"WAP WAPORE UP - Extratora e Higienizadora com Vapor e MOP, Aspirador de Pó Vertical, 1600W, Passa Pano, Limpa e dá Brilho, 127V, Branco, Titanium e Azul","949,98"
"Eliminador e Neutralizador de Odores PET 1L WAP ELIMINA ODORES, Branco e Verde","56,95"
